station,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK
原木中山,6.23,5.87,6.93,9.06,,7.23,10.39,,8.18,10.75,,
和光市,6.86,6.14,7.80,10.45,7.14,8.46,14.18,,,18.39,,
地下鉄成増,6.30,6.78,8.65,11.66,6.93,8.79,13.09,,11.22,16.00,,
地下鉄赤塚,6.22,7.30,7.50,12.41,8.46,9.06,13.18,,10.99,,,
平和台,6.38,7.18,8.96,11.20,,9.46,13.58,,11.84,,,
氷川台,6.10,7.18,8.94,11.44,8.43,9.15,13.66,,,,,
小竹向原,6.64,7.68,8.59,12.71,7.66,10.02,14.05,,,,,
千川,6.70,7.37,9.02,12.08,7.73,10.61,14.04,,,,,
要町,6.84,8.52,10.16,13.32,8.65,11.26,19.61,,,,,
東池袋,7.29,8.94,12.03,15.06,11.82,11.94,21.69,,,,,
護国寺,7.60,8.03,10.07,15.58,13.98,11.78,18.51,,,40.55,,
江戸川橋,8.70,9.32,11.91,15.88,11.75,12.82,24.00,,,36.42,,
麹町,13.03,12.91,17.43,23.50,,,39.28,,,,,
永田町,,12.67,14.92,28.79,,,82.93,,,,,
桜田門,,,,,,,,,,,,
銀座一丁目,16.00,11.10,,18.88,15.50,,,,,,,
新富町,10.31,10.45,13.95,18.04,,16.31,26.22,,,35.30,,
月島,10.55,10.53,12.51,16.88,,16.04,24.43,,,29.53,,
豊洲,12.30,9.93,15.12,17.23,,,23.73,,,27.53,,
辰巳,14.46,10.88,13.60,16.59,,,17.38,,,23.94,,
新大塚,8.37,8.56,10.44,14.61,11.20,11.62,20.20,,,22.71,,
茗荷谷,8.51,8.58,10.68,17.08,,16.36,25.26,,,31.86,,
後楽園,10.04,9.17,12.69,16.83,,20.05,28.76,,23.23,42.68,,
本郷三丁目,9.94,10.06,12.78,18.44,,11.98,24.96,,,,,
淡路町,10.22,10.29,14.53,17.96,,,26.61,,21.00,,,
銀座,13.72,12.03,14.00,21.05,15.30,,33.42,,,,,
霞ケ関,,9.95,,,,,,,,,,
国会議事堂前,13.20,,,21.90,,,,,,,,
赤坂見附,14.53,12.28,15.07,22.80,13.48,,44.11,,,,,
四谷三丁目,9.84,10.36,12.97,18.28,,14.77,25.15,,,42.75,,
新宿御苑前,11.00,10.88,14.23,19.87,,,28.01,,,37.06,,
新宿三丁目,10.29,11.23,14.38,24.26,12.75,,28.25,,,42.54,,
西新宿,11.33,10.39,13.29,24.29,,,31.27,,,40.77,,
中野坂上,7.63,9.62,11.93,14.37,10.43,12.44,21.08,,,25.97,,
新中野,7.56,8.41,11.24,13.81,10.49,11.33,16.69,,,,,
東高円寺,7.49,8.33,9.87,15.95,9.45,12.76,19.52,,,22.63,,
新高円寺,6.94,8.35,10.15,14.90,9.83,12.23,19.70,,,,,
南阿佐ケ谷,6.41,8.02,10.27,13.74,9.49,11.75,17.64,,,,,
中野新橋,7.59,8.56,10.86,17.00,10.06,12.74,19.34,,,,,
中野富士見町,7.36,8.23,11.03,16.23,10.18,10.57,18.74,,,25.30,,
